timestamp,pitch_angle,yaw_angle,pitch_ground_angle,yaw_ground_angle,tof1,tof2,tof3,tof4
2025-07-16 17:12:13.172601,0.0,0.7,0.0,2.4,0,0,0,0
2025-07-16 17:12:13.372851,0.0,2.6,0.0,4.4,244,0,0,0
2025-07-16 17:12:13.571739,0.0,4.7,0.0,6.4,244,0,0,0
2025-07-16 17:12:13.772082,0.0,6.7,0.0,8.4,243,0,0,0
2025-07-16 17:12:13.972430,0.0,8.8,0.0,10.4,244,0,0,0
2025-07-16 17:12:14.172362,0.0,10.9,0.0,12.4,245,0,0,0
2025-07-16 17:12:14.372084,0.0,13.1,0.0,14.4,244,0,0,0
2025-07-16 17:12:14.573325,0.0,15.1,0.0,16.4,248,0,0,0
2025-07-16 17:12:14.772647,-0.1,17.0,0.0,18.4,251,0,0,0
2025-07-16 17:12:14.972354,-0.1,18.9,0.0,20.4,253,0,0,0
2025-07-16 17:12:15.172031,-0.1,20.8,0.0,22.4,255,0,0,0
2025-07-16 17:12:15.372545,-0.1,22.7,0.0,24.4,260,0,0,0
2025-07-16 17:12:15.572307,-0.1,24.5,0.0,26.4,262,0,0,0
2025-07-16 17:12:15.772063,-0.1,26.5,0.0,28.4,266,0,0,0
2025-07-16 17:12:15.972079,-0.1,28.5,0.0,30.4,273,0,0,0
2025-07-16 17:12:16.171680,-0.2,30.5,0.0,32.4,278,0,0,0
2025-07-16 17:12:16.372330,-0.2,32.7,0.0,34.4,284,0,0,0
2025-07-16 17:12:16.572791,-0.2,34.9,0.0,36.4,290,0,0,0
2025-07-16 17:12:16.772335,-0.2,37.1,0.0,38.4,298,0,0,0
2025-07-16 17:12:16.972465,-0.3,39.0,0.0,40.4,308,0,0,0
2025-07-16 17:12:17.171969,-0.3,41.1,0.0,42.4,314,0,0,0
2025-07-16 17:12:17.372580,-0.3,42.9,0.0,44.4,318,0,0,0
2025-07-16 17:12:17.572323,-0.3,44.7,0.0,46.4,330,0,0,0
2025-07-16 17:12:17.771975,-0.3,46.6,0.0,48.4,343,0,0,0
2025-07-16 17:12:17.973070,-0.3,48.4,0.0,50.4,363,0,0,0
2025-07-16 17:12:18.172027,-0.4,50.5,0.0,52.4,376,0,0,0
2025-07-16 17:12:18.371968,-0.4,52.5,0.0,54.4,382,0,0,0
2025-07-16 17:12:18.573082,-0.4,54.6,0.0,56.4,370,0,0,0
2025-07-16 17:12:18.772320,-0.4,56.8,0.0,58.4,353,0,0,0
2025-07-16 17:12:18.971852,-0.4,59.0,0.0,60.4,340,0,0,0
2025-07-16 17:12:19.175138,-0.4,61.0,0.0,62.4,328,0,0,0
2025-07-16 17:12:19.372008,-0.4,63.0,0.0,64.4,318,0,0,0
2025-07-16 17:12:19.571771,-0.5,64.9,0.0,66.4,309,0,0,0
2025-07-16 17:12:19.772278,-0.5,66.8,0.0,68.4,298,0,0,0
2025-07-16 17:12:19.972130,-0.5,68.6,0.0,70.4,290,0,0,0
2025-07-16 17:12:20.172118,-0.5,70.5,0.0,72.4,281,0,0,0
2025-07-16 17:12:20.372168,-0.5,72.3,0.0,74.4,280,0,0,0
2025-07-16 17:12:20.572758,-0.5,74.3,0.0,76.4,272,0,0,0
2025-07-16 17:12:20.771961,-0.6,76.3,0.0,78.4,265,0,0,0
2025-07-16 17:12:20.972637,-0.6,78.5,0.0,80.3,262,0,0,0
2025-07-16 17:12:21.172949,-0.6,81.0,0.0,82.6,261,0,0,0
2025-07-16 17:12:21.372170,-0.6,83.2,0.0,84.6,255,0,0,0
2025-07-16 17:12:21.572520,-0.6,85.2,0.0,86.6,252,0,0,0
2025-07-16 17:12:21.772889,-0.6,87.1,0.0,88.6,249,0,0,0
2025-07-16 17:12:21.971816,-0.6,89.0,0.0,90.6,245,0,0,0
2025-07-16 17:12:22.192049,-0.7,89.9,0.0,91.5,246,0,0,0
2025-07-16 17:12:22.392284,-0.6,88.0,0.0,89.5,246,0,0,0
2025-07-16 17:12:22.592086,-0.6,86.1,0.0,87.5,247,0,0,0
2025-07-16 17:12:22.791800,-0.6,84.1,0.0,85.5,248,0,0,0
2025-07-16 17:12:22.991707,-0.6,81.9,0.0,83.5,249,0,0,0
2025-07-16 17:12:23.192038,-0.6,79.8,0.0,81.5,253,0,0,0
2025-07-16 17:12:23.392186,-0.6,77.5,0.0,79.5,257,0,0,0
2025-07-16 17:12:23.592018,-0.6,75.4,0.0,77.5,260,0,0,0
2025-07-16 17:12:23.791612,-0.6,73.5,0.0,75.5,264,0,0,0
2025-07-16 17:12:23.994086,-0.6,71.6,0.0,73.5,267,0,0,0
2025-07-16 17:12:24.192177,-0.5,69.7,0.0,71.5,274,0,0,0
2025-07-16 17:12:24.391906,-0.5,68.0,0.0,69.5,277,0,0,0
2025-07-16 17:12:24.592804,-0.5,66.1,0.0,67.5,287,0,0,0
2025-07-16 17:12:24.792280,-0.5,64.2,0.0,65.5,293,0,0,0
2025-07-16 17:12:24.992179,-0.5,62.3,0.0,63.5,301,0,0,0
2025-07-16 17:12:25.191652,-0.4,60.1,0.0,61.5,309,0,0,0
2025-07-16 17:12:25.392781,-0.4,58.0,0.0,59.5,317,0,0,0
2025-07-16 17:12:25.592735,-0.4,55.7,0.0,57.5,329,0,0,0
2025-07-16 17:12:25.792460,-0.4,53.6,0.0,55.5,341,0,0,0
2025-07-16 17:12:25.992454,-0.4,51.5,0.0,53.5,360,0,0,0
2025-07-16 17:12:26.192520,-0.4,49.6,0.0,51.5,379,0,0,0
2025-07-16 17:12:26.392368,-0.4,47.7,0.0,49.5,386,0,0,0
2025-07-16 17:12:26.594301,-0.3,45.6,0.0,47.3,377,0,0,0
2025-07-16 17:12:26.791969,-0.3,43.8,0.0,45.3,359,0,0,0
2025-07-16 17:12:26.992261,-0.3,41.9,0.0,43.3,337,0,0,0
2025-07-16 17:12:27.212712,-0.3,39.9,0.0,41.3,326,0,0,0
2025-07-16 17:12:27.412588,-0.3,37.9,0.0,39.3,312,0,0,0
2025-07-16 17:12:27.611939,-0.2,35.7,0.0,37.3,299,0,0,0
2025-07-16 17:12:27.812298,-0.2,33.5,0.0,35.3,285,0,0,0
2025-07-16 17:12:28.012149,-0.2,31.3,0.0,33.3,277,0,0,0
2025-07-16 17:12:28.212355,-0.1,29.3,0.0,31.3,272,0,0,0
2025-07-16 17:12:28.412330,-0.1,27.3,0.0,29.3,266,0,0,0
2025-07-16 17:12:28.612530,-0.1,25.4,0.0,27.3,259,0,0,0
2025-07-16 17:12:28.811835,-0.1,23.5,0.0,25.3,257,0,0,0
2025-07-16 17:12:29.012503,-0.1,21.7,0.0,23.3,251,0,0,0
2025-07-16 17:12:29.212092,-0.1,19.8,0.0,21.3,249,0,0,0
2025-07-16 17:12:29.412022,0.0,17.8,0.0,19.3,243,0,0,0
2025-07-16 17:12:29.612447,0.0,15.9,0.0,17.3,240,0,0,0
2025-07-16 17:12:29.811245,0.0,13.9,0.0,15.3,239,0,0,0
2025-07-16 17:12:30.012130,0.0,11.7,0.0,13.3,235,0,0,0
2025-07-16 17:12:30.211983,0.0,9.5,0.0,11.3,235,0,0,0
2025-07-16 17:12:30.412479,0.0,7.5,0.0,9.3,233,0,0,0
2025-07-16 17:12:30.611686,0.0,5.4,0.0,7.3,232,0,0,0
2025-07-16 17:12:30.812613,0.0,3.4,0.0,5.3,235,0,0,0
2025-07-16 17:12:31.012023,0.0,1.5,0.0,3.3,238,0,0,0
2025-07-16 17:12:31.211785,0.1,-0.3,0.0,1.3,243,0,0,0
2025-07-16 17:12:31.411770,0.1,-2.2,0.0,-0.6,243,0,0,0
2025-07-16 17:12:31.612133,0.1,-4.2,0.0,-2.6,240,0,0,0
2025-07-16 17:12:31.812556,0.1,-6.2,0.0,-4.6,240,0,0,0
2025-07-16 17:12:32.011903,0.1,-8.1,0.0,-6.6,238,0,0,0
2025-07-16 17:12:32.212202,0.1,-10.4,0.0,-8.8,238,0,0,0
2025-07-16 17:12:32.412243,0.2,-12.5,0.0,-10.8,243,0,0,0
2025-07-16 17:12:32.612062,0.2,-14.6,0.0,-12.8,247,0,0,0
2025-07-16 17:12:32.812136,0.2,-16.6,0.0,-14.8,251,0,0,0
2025-07-16 17:12:33.012098,0.2,-18.7,0.0,-16.8,253,0,0,0
2025-07-16 17:12:33.211768,0.3,-20.7,0.0,-18.8,260,0,0,0
2025-07-16 17:12:33.412243,0.3,-22.7,0.0,-20.8,267,0,0,0
2025-07-16 17:12:33.612258,0.3,-24.6,0.0,-22.8,272,0,0,0
2025-07-16 17:12:33.812280,0.3,-26.5,0.0,-24.8,278,0,0,0
2025-07-16 17:12:34.011385,0.3,-28.4,0.0,-26.8,285,0,0,0
2025-07-16 17:12:34.232046,0.3,-30.5,0.0,-29.0,295,0,0,0
2025-07-16 17:12:34.432264,0.3,-32.5,0.0,-31.0,308,0,0,0
2025-07-16 17:12:34.632452,0.3,-34.5,0.0,-33.0,316,0,0,0
2025-07-16 17:12:34.831763,0.4,-36.5,0.0,-35.0,328,0,0,0
2025-07-16 17:12:35.031924,0.4,-38.4,0.0,-36.8,344,0,0,0
2025-07-16 17:12:35.231872,0.4,-40.7,0.0,-39.0,366,0,0,0
2025-07-16 17:12:35.431878,0.4,-42.9,0.0,-41.0,374,0,0,0
2025-07-16 17:12:35.632399,0.4,-44.9,0.0,-43.0,375,0,0,0
2025-07-16 17:12:35.831586,0.4,-46.9,0.0,-45.0,370,0,0,0
2025-07-16 17:12:36.032955,0.4,-48.9,0.0,-47.0,357,0,0,0
2025-07-16 17:12:36.232134,0.4,-50.8,0.0,-49.0,345,0,0,0
2025-07-16 17:12:36.431810,0.4,-52.7,0.0,-51.0,332,0,0,0
2025-07-16 17:12:36.631739,0.4,-54.6,0.0,-53.0,322,0,0,0
2025-07-16 17:12:36.831770,0.4,-56.5,0.0,-55.0,312,0,0,0
2025-07-16 17:12:37.031716,0.4,-58.5,0.0,-57.0,305,0,0,0
2025-07-16 17:12:37.232437,0.4,-60.5,0.0,-59.0,296,0,0,0
2025-07-16 17:12:37.431675,0.4,-62.5,0.0,-61.0,286,0,0,0
2025-07-16 17:12:37.631852,0.4,-64.7,0.0,-63.0,282,0,0,0
2025-07-16 17:12:37.832181,0.4,-66.8,0.0,-65.0,275,0,0,0
2025-07-16 17:12:38.032294,0.4,-68.9,0.0,-67.0,270,0,0,0
2025-07-16 17:12:38.231946,0.4,-70.9,0.0,-69.0,265,0,0,0
2025-07-16 17:12:38.451978,0.4,-73.0,0.0,-71.0,263,0,0,0
2025-07-16 17:12:38.652419,0.4,-74.8,0.0,-73.0,258,0,0,0
2025-07-16 17:12:38.851963,0.4,-76.7,0.0,-75.0,254,0,0,0
2025-07-16 17:12:39.051741,0.3,-78.5,0.0,-77.0,253,0,0,0
2025-07-16 17:12:39.251736,0.3,-80.4,0.0,-79.0,252,0,0,0
2025-07-16 17:12:39.451676,0.3,-82.4,0.0,-81.0,249,0,0,0
2025-07-16 17:12:39.651818,0.3,-84.4,0.0,-83.0,248,0,0,0
2025-07-16 17:12:39.850699,0.3,-86.5,0.0,-85.0,247,0,0,0
2025-07-16 17:12:40.052472,0.3,-88.4,0.0,-87.0,245,0,0,0
2025-07-16 17:12:40.251128,0.3,-89.6,0.0,-88.3,246,0,0,0
2025-07-16 17:12:40.451663,0.3,-85.0,0.0,-83.3,245,0,0,0
2025-07-16 17:12:40.651747,0.3,-79.1,0.0,-77.3,246,0,0,0
2025-07-16 17:12:40.851570,0.4,-73.5,0.0,-71.3,251,0,0,0
2025-07-16 17:12:41.051709,0.4,-67.3,0.0,-65.3,258,0,0,0
2025-07-16 17:12:41.251614,0.4,-60.9,0.0,-59.3,269,0,0,0
2025-07-16 17:12:41.451962,0.4,-55.0,0.0,-53.3,289,0,0,0
2025-07-16 17:12:41.651904,0.4,-49.3,0.0,-47.3,309,0,0,0
2025-07-16 17:12:41.851695,0.4,-43.2,0.0,-41.3,338,0,0,0
2025-07-16 17:12:42.051697,0.4,-36.8,0.0,-35.3,375,0,0,0
2025-07-16 17:12:42.252304,0.4,-30.8,0.0,-29.3,347,0,0,0
2025-07-16 17:12:42.452485,0.3,-25.1,0.0,-23.3,311,0,0,0
2025-07-16 17:12:42.653633,0.3,-19.1,0.0,-17.3,288,0,0,0
2025-07-16 17:12:42.852421,0.2,-12.2,0.0,-10.7,268,0,0,0
2025-07-16 17:12:43.053284,0.2,-6.2,0.0,-4.7,255,0,0,0
2025-07-16 17:12:43.255188,0.1,-0.4,0.0,1.2,250,0,0,0
