Timestamp,Roll (deg),Pitch (deg),Yaw (deg)
2025-07-03 21:46:33.227625,90.89,-0.15,-0.55
2025-07-03 21:46:33.319553,90.89,-0.06,-0.54
2025-07-03 21:46:33.415743,91.16,-0.02,-0.53
2025-07-03 21:46:33.528468,90.86,-0.1,-0.51
2025-07-03 21:46:33.622144,90.73,-0.21,-0.56
2025-07-03 21:46:33.726850,90.75,-0.19,-0.58
2025-07-03 21:46:33.823634,90.78,-0.26,-0.6
2025-07-03 21:46:33.926485,90.81,-0.29,-0.59
2025-07-03 21:46:34.023463,90.79,-0.13,-0.57
2025-07-03 21:46:34.126276,90.85,-0.08,-0.61
2025-07-03 21:46:34.227571,90.86,0.03,-0.57
2025-07-03 21:46:34.326356,90.84,0.01,-0.65
2025-07-03 21:46:34.435324,90.83,-0.04,-0.61
2025-07-03 21:46:34.526792,90.83,0.02,-0.64
2025-07-03 21:46:34.628022,90.87,-0.11,-0.63
2025-07-03 21:46:34.728102,90.79,-0.02,-0.65
2025-07-03 21:46:34.822193,90.79,-0.09,-0.68
2025-07-03 21:46:34.920173,91.09,-0.01,-0.64
2025-07-03 21:46:35.024332,90.7,-0.03,-0.66
2025-07-03 21:46:35.125639,90.65,-0.03,-0.66
2025-07-03 21:46:35.218212,90.69,-0.04,-0.65
2025-07-03 21:46:35.327728,90.73,-0.05,-0.65
2025-07-03 21:46:35.423117,90.74,-0.05,-0.66
2025-07-03 21:46:35.527638,90.74,-0.06,-0.66
2025-07-03 21:46:35.625449,90.73,-0.06,-0.66
2025-07-03 21:46:35.726940,90.73,-0.05,-0.66
2025-07-03 21:46:35.827188,90.74,-0.05,-0.66
2025-07-03 21:46:35.927046,90.73,-0.06,-0.66
2025-07-03 21:46:36.029631,90.74,-0.06,-0.66
2025-07-03 21:46:36.121121,94.11,-0.05,-0.69
2025-07-03 21:46:36.227851,100.75,-0.04,-0.68
2025-07-03 21:46:36.328460,107.82,0.04,-0.73
2025-07-03 21:46:36.428048,115.28,0.11,-0.76
2025-07-03 21:46:36.525263,122.9,0.18,-0.81
2025-07-03 21:46:36.627745,130.7,0.27,-0.81
2025-07-03 21:46:36.725911,138.51,0.36,-0.82
2025-07-03 21:46:36.822800,146.36,0.45,-0.8
2025-07-03 21:46:36.928187,154.26,0.52,-0.76
2025-07-03 21:46:37.027983,162.27,0.61,-0.78
2025-07-03 21:46:37.129048,170.24,0.65,-0.81
2025-07-03 21:46:37.227623,177.44,0.69,-0.84
2025-07-03 21:46:37.326244,179.93,0.68,-0.82
2025-07-03 21:46:37.428805,-179.9,0.68,-0.84
2025-07-03 21:46:37.528305,-179.9,0.68,-0.84
2025-07-03 21:46:37.628123,-179.9,0.68,-0.84
2025-07-03 21:46:37.727527,-179.9,0.68,-0.84
2025-07-03 21:46:37.828147,-179.9,0.68,-0.83
2025-07-03 21:46:37.927726,-179.9,0.68,-0.83
2025-07-03 21:46:38.044801,-179.9,0.68,-0.83
2025-07-03 21:46:38.142236,-179.9,0.68,-0.83
2025-07-03 21:46:38.247791,-179.9,0.68,-0.83
2025-07-03 21:46:38.347754,-179.9,0.68,-0.83
2025-07-03 21:46:38.447612,-179.95,0.85,-0.8
2025-07-03 21:46:38.544243,-179.71,0.86,-0.71
2025-07-03 21:46:38.647983,-179.92,0.76,-0.75
2025-07-03 21:46:38.743290,-179.97,0.79,-0.75
2025-07-03 21:46:38.848155,-179.98,0.83,-0.82
2025-07-03 21:46:38.946821,-179.99,0.75,-0.8
2025-07-03 21:46:39.048273,-179.96,0.79,-0.81
2025-07-03 21:46:39.142635,-179.95,0.72,-0.83
2025-07-03 21:46:39.247361,-179.94,0.62,-0.81
2025-07-03 21:46:39.344476,-179.93,0.57,-0.8
2025-07-03 21:46:39.447388,-179.99,0.51,-0.73
2025-07-03 21:46:39.547062,-179.95,0.52,-0.74
2025-07-03 21:46:39.647807,-179.95,0.46,-0.8
2025-07-03 21:46:39.747908,-179.93,0.41,-0.74
2025-07-03 21:46:39.847239,-179.84,0.46,-0.72
2025-07-03 21:46:39.945579,-179.71,0.45,-0.74
2025-07-03 21:46:40.044883,-179.82,0.48,-0.76
2025-07-03 21:46:40.144138,-180.0,0.43,-0.75
2025-07-03 21:46:40.248463,-179.96,0.45,-0.72
2025-07-03 21:46:40.348372,-179.91,0.46,-0.74
2025-07-03 21:46:40.448302,-179.9,0.46,-0.74
2025-07-03 21:46:40.539368,-179.9,0.44,-0.75
2025-07-03 21:46:40.646686,-179.92,0.43,-0.73
2025-07-03 21:46:40.743742,-179.92,0.42,-0.72
2025-07-03 21:46:40.846799,-179.91,0.41,-0.73
2025-07-03 21:46:40.943559,-179.91,0.41,-0.73
2025-07-03 21:46:41.046473,-179.91,0.41,-0.73
2025-07-03 21:46:41.143218,-179.5,0.41,-0.72
2025-07-03 21:46:41.246020,-172.29,0.42,-0.69
2025-07-03 21:46:41.343603,-165.56,0.48,-0.66
2025-07-03 21:46:41.449129,-158.26,0.5,-0.66
2025-07-03 21:46:41.548465,-150.79,0.58,-0.63
2025-07-03 21:46:41.643335,-143.0,0.63,-0.6
2025-07-03 21:46:41.747642,-135.31,0.66,-0.53
2025-07-03 21:46:41.842685,-127.44,0.7,-0.48
2025-07-03 21:46:41.946276,-119.47,0.71,-0.44
2025-07-03 21:46:42.043016,-111.64,0.69,-0.4
2025-07-03 21:46:42.148023,-103.67,0.66,-0.38
2025-07-03 21:46:42.243078,-95.78,0.64,-0.34
2025-07-03 21:46:42.347314,-91.52,0.61,-0.32
2025-07-03 21:46:42.448043,-90.64,0.6,-0.31
2025-07-03 21:46:42.548042,-90.66,0.59,-0.29
2025-07-03 21:46:42.648359,-90.66,0.59,-0.28
2025-07-03 21:46:42.748459,-90.66,0.58,-0.27
2025-07-03 21:46:42.848765,-90.66,0.58,-0.25
2025-07-03 21:46:42.945834,-90.66,0.57,-0.25
2025-07-03 21:46:43.048694,-90.66,0.57,-0.25
2025-07-03 21:46:43.143988,-90.66,0.57,-0.25
2025-07-03 21:46:43.248554,-90.66,0.57,-0.25
2025-07-03 21:46:43.348395,-90.65,0.57,-0.25
2025-07-03 21:46:43.438933,-90.78,0.66,-0.25
2025-07-03 21:46:43.548357,-90.32,0.65,-0.19
2025-07-03 21:46:43.648097,-90.78,0.53,-0.16
2025-07-03 21:46:43.748100,-90.91,0.57,-0.23
2025-07-03 21:46:43.844910,-90.85,0.66,-0.22
2025-07-03 21:46:43.947419,-90.9,0.69,-0.26
2025-07-03 21:46:44.047944,-90.75,0.87,-0.29
2025-07-03 21:46:44.147825,-90.72,0.99,-0.31
2025-07-03 21:46:44.248267,-90.78,1.03,-0.29
2025-07-03 21:46:44.349188,-90.69,1.02,-0.28
2025-07-03 21:46:44.444431,-90.84,0.91,-0.29
2025-07-03 21:46:44.547864,-90.69,0.96,-0.27
2025-07-03 21:46:44.645490,-90.7,0.94,-0.3
2025-07-03 21:46:44.748757,-90.74,0.81,-0.32
2025-07-03 21:46:44.848300,-90.76,0.91,-0.31
2025-07-03 21:46:44.945560,-90.63,0.82,-0.33
2025-07-03 21:46:45.046073,-91.21,0.9,-0.33
2025-07-03 21:46:45.138665,-90.82,0.91,-0.36
2025-07-03 21:46:45.251029,-90.7,0.85,-0.32
2025-07-03 21:46:45.368991,-90.63,0.88,-0.3
2025-07-03 21:46:45.461027,-90.63,0.88,-0.3
2025-07-03 21:46:45.568515,-90.65,0.89,-0.3
2025-07-03 21:46:45.666472,-90.67,0.89,-0.31
2025-07-03 21:46:45.764236,-90.68,0.9,-0.31
2025-07-03 21:46:45.868561,-90.68,0.9,-0.31
2025-07-03 21:46:45.967533,-90.68,0.9,-0.31
2025-07-03 21:46:46.065877,-90.68,0.9,-0.31
2025-07-03 21:46:46.167778,-90.68,0.9,-0.31
2025-07-03 21:46:46.267776,-90.68,0.9,-0.31
2025-07-03 21:46:46.368377,-89.52,0.91,-0.28
2025-07-03 21:46:46.466186,-82.52,0.84,-0.18
2025-07-03 21:46:46.568902,-75.66,0.83,-0.07
2025-07-03 21:46:46.668661,-68.43,0.84,-0.03
2025-07-03 21:46:46.767433,-60.74,0.8,0.04
2025-07-03 21:46:46.868444,-53.09,0.76,0.05
2025-07-03 21:46:46.963404,-45.29,0.73,0.07
2025-07-03 21:46:47.066495,-37.34,0.69,0.09
2025-07-03 21:46:47.163512,-29.46,0.61,0.09
2025-07-03 21:46:47.266657,-21.54,0.55,0.09
2025-07-03 21:46:47.363412,-13.56,0.48,0.09
2025-07-03 21:46:47.466314,-5.75,0.43,0.06
2025-07-03 21:46:47.566234,-1.9,0.36,0.05
2025-07-03 21:46:47.660501,-1.07,0.36,0.05
2025-07-03 21:46:47.768900,-1.14,0.36,0.04
2025-07-03 21:46:47.867931,-1.15,0.36,0.04
2025-07-03 21:46:47.968529,-1.15,0.35,0.05
2025-07-03 21:46:48.059200,-1.15,0.35,0.05
2025-07-03 21:46:48.168426,-1.15,0.35,0.04
2025-07-03 21:46:48.264237,-1.15,0.35,0.04
2025-07-03 21:46:48.368573,-1.16,0.35,0.04
2025-07-03 21:46:48.462373,-1.16,0.35,0.04
2025-07-03 21:46:48.568106,-1.16,0.35,0.04
2025-07-03 21:46:48.668430,-1.2,0.41,0.06
2025-07-03 21:46:48.768473,-1.06,0.5,0.09
2025-07-03 21:46:48.860548,-1.19,0.4,0.16
2025-07-03 21:46:48.963476,-1.16,0.28,0.13
2025-07-03 21:46:49.082127,-1.25,0.37,0.1
2025-07-03 21:46:49.183481,-1.27,0.39,0.12
2025-07-03 21:46:49.289435,-1.19,0.24,0.13
2025-07-03 21:46:49.383355,-1.27,0.25,0.1
2025-07-03 21:46:49.486826,-1.2,0.1,0.05
2025-07-03 21:46:49.583902,-1.21,0.08,0.1
2025-07-03 21:46:49.686804,-1.22,0.11,0.12
2025-07-03 21:46:49.783977,-1.23,-0.01,0.09
2025-07-03 21:46:49.887443,-1.19,0.14,0.11
2025-07-03 21:46:49.973834,-1.2,0.16,0.14
2025-07-03 21:46:50.086269,-1.34,0.06,0.14
2025-07-03 21:46:50.188263,-1.19,0.21,0.12
2025-07-03 21:46:50.288106,-1.2,0.07,0.15
2025-07-03 21:46:50.389057,-1.79,0.22,0.14
2025-07-03 21:46:50.488178,-1.27,0.17,0.11
2025-07-03 21:46:50.588860,-1.19,0.19,0.11
2025-07-03 21:46:50.679217,-1.19,0.17,0.11
2025-07-03 21:46:50.788273,-1.53,0.19,0.13
2025-07-03 21:46:50.888192,-1.55,0.2,0.13
2025-07-03 21:46:50.981935,-1.55,0.19,0.14
2025-07-03 21:46:51.085125,-1.56,0.19,0.14
2025-07-03 21:46:51.188574,-1.56,0.2,0.14
2025-07-03 21:46:51.287054,-1.56,0.2,0.14
2025-07-03 21:46:51.388066,-1.56,0.2,0.14
2025-07-03 21:46:51.488012,-1.56,0.2,0.14
2025-07-03 21:46:51.589012,1.83,0.21,0.16
2025-07-03 21:46:51.688419,8.47,0.14,0.21
2025-07-03 21:46:51.789078,15.58,0.09,0.14
2025-07-03 21:46:51.888693,23.01,0.05,0.09
2025-07-03 21:46:51.987669,30.6,0.01,0.05
2025-07-03 21:46:52.088672,38.39,-0.05,-0.1
2025-07-03 21:46:52.185490,46.21,-0.12,-0.16
2025-07-03 21:46:52.287985,54.06,-0.13,-0.24
2025-07-03 21:46:52.388172,62.03,-0.16,-0.34
2025-07-03 21:46:52.488550,69.89,-0.16,-0.41
2025-07-03 21:46:52.587250,77.78,-0.15,-0.46
2025-07-03 21:46:52.689178,85.06,-0.11,-0.52
2025-07-03 21:46:52.786475,87.6,-0.12,-0.55
2025-07-03 21:46:52.888330,87.57,-0.12,-0.54
2025-07-03 21:46:52.988605,87.56,-0.12,-0.53
2025-07-03 21:46:53.088550,87.56,-0.12,-0.53
2025-07-03 21:46:53.189023,87.55,-0.11,-0.53
2025-07-03 21:46:53.288289,87.54,-0.11,-0.52
2025-07-03 21:46:53.388998,87.54,-0.11,-0.52
2025-07-03 21:46:53.483344,87.54,-0.11,-0.52
2025-07-03 21:46:53.586977,87.54,-0.11,-0.52
2025-07-03 21:46:53.680280,87.54,-0.11,-0.52
